Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Koo V.C., Chan Y.K., Gobi V., Chua M.Y., Lim C.H., Lim C.S., Thum C.C., Lim T.S., Ahmad Z., Mahmood K.A., Shahid M.H., Ang C.Y., Tan W.Q., Tan P.N., Yee K.S., Cheaw W.G., Boey H.S., Choo A.L., Sew B.C.","55663712200;9243982200;6504366905;35219571500;53878048800;16177849200;57196801141;10939658400;57201498080;57225786835;57206134631;54400773000;54421211700;35763279400;54401831700;54400684900;54419597500;54419717500;37114044000;","A new unmanned aerial vehicle synthetic aperture radar for environmental monitoring",2012,"Progress in Electromagnetics Research","122",,,"245","268",,81,"10.2528/pier11092604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81755166528&doi=10.2528%2fpier11092604&partnerID=40&md5=5fc60fe0fc5a74b5716f52f1b5d16d6e",,"Antennas; Palm oil; Radar imaging; Remote sensing; Unmanned aerial vehicles (UAV); Environmental Monitoring; Field measurement; Monitoring and management; Oil palm plantations; Realtime imaging; Spatial resolution; System design and development; Unique features; Synthetic aperture radar",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-81755166528
"Hawari H.F., Saad S.M., Samsudin N.M., Md Shakaff A.Y., Wahab Y., Hashim U.","55193221900;57202998396;55193191300;8721012500;6507764452;22633937800;","Sensory system for detection of Harumanis mango fruit maturity",2013,"ICCAS 2013 - 2013 IEEE International Conference on Circuits and Systems: ""Advanced Circuits and Systems for Sustainability""",,,"6671632","146","149",,3,"10.1109/CircuitsAndSystems.2013.6671632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893271821&doi=10.1109%2fCircuitsAndSystems.2013.6671632&partnerID=40&md5=6c06645e2f3c6db3941b8039df860786","Fruit Maturity; Gas Sensor; Interdigitated Electrode; Molecular Imprint Polymer","Capacitance; Chemical sensors; Integrodifferential equations; Sustainable development; Agriculture sectors; Alternative solutions; Electrical capacitance; Fruit maturity; Inter-digitated electrodes; Interface circuits; Molecular imprint polymers; Molecular imprinted polymer (MIP); Fruits",Conference Paper,"Final","",Scopus,2-s2.0-84893271821
"Darmawan S., Carolita I., Hernawati R., Dirgahayu D., Agustan, Permadi D.A., Sari D.K., Suryadini W., Wiratmoko D., Kunto Y.","36481113000;56237384100;57210921317;56237296900;22956983500;24605839300;36146184300;57222517633;57210911775;57223433501;","The Potential Scattering Model for Oil Palm Phenology Based on Spaceborne X-, C-, and L-Band Polarimetric SAR Imaging",2021,"Journal of Sensors","2021",,"6625774","","",,,"10.1155/2021/6625774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102982922&doi=10.1155%2f2021%2f6625774&partnerID=40&md5=08357fb6b1f4af99786ce64a9c13fc8f",,"Biology; Forestry; Microwave sensors; Nonlinear systems; Palm oil; Polarimeters; Polarization; Space-based radar; Synthetic aperture radar; Tracking radar; Logarithmic models; Oil palm plantations; Polarimetric radars; Polarimetric synthetic aperture radars; Potential scattering; Radiometric calibrations; Scattering char-acteristics; Sumatra , Indonesia; Radar imaging",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85102982922
"Leitner R., Krivec M., Maier D., Waldner R., Überall F.","7004557330;55653704300;56950105800;56950667300;57207907463;","Metal oxide based smart electronic nose resilient to air humidity changes",2017,"International Conference and Exhibition on Integration Issues of Miniaturized Systems 2017, SSI 2017",,,,"226","232",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032275503&partnerID=40&md5=e2014d8afe687322a7314b50c234e3db",,"Cost effectiveness; Electronic equipment; Ethylene; Fruits; Metallic compounds; Metals; Volatile organic compounds; Water vapor; Integration; Consumer applications; Ethylene measurements; Metal oxide (MOX) sensors; Relative air humidities; Sensitive detector; Transport industry; Validation measurements; Volatile compounds; Electronic nose",Conference Paper,"Final","",Scopus,2-s2.0-85032275503
"Masura S.S., Tahir N.I., Rasid O.A., Ramli U.S., Othman A., Masani M.Y.A., Parveez G.K.A., Kushairi A.","26533147800;55317746600;6503985037;6507640491;55314595000;57200280588;7801435072;16833526200;","Post-genomic technologies for the advancement of oil palm research",2017,"Journal of Oil Palm Research","29","4",,"469","486",,14,"10.21894/jopr.2017.00013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040596432&doi=10.21894%2fjopr.2017.00013&partnerID=40&md5=458e5c1f13d655d34fd473943c83b2bb","Genetic engineering; Omics research; Post-genomics technologies",,Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85040596432
"Sari D.W., Hidayat F.N., Abdul I.","57191756246;57217103076;57205104055;","Efficiency of land use in smallholder palm oil plantations in indonesia: A stochastic frontier approach",2021,"Forest and Society","5","1",,"75","89",,,"10.24259/fs.v5i1.10912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102284029&doi=10.24259%2ffs.v5i1.10912&partnerID=40&md5=9e87af5486511212ae8fefa77ad65fc9","Efficiency; Input distance function; Oil palm; Stochastic frontier","efficiency measurement; land use planning; plantation; smallholder; stochasticity; Indonesia",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85102284029
"Duque L.F.C., Cardeño F.","57208379572;24069951300;","Measurement of fruit color-heterogeneity index and their relation to Jatropha curcas L., oil in Colombia",2017,"Acta Agronomica","66","1",,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994388360&partnerID=40&md5=6b3b06d044131c67f3f4848d4e10b2f3","Epicarp color index; Floral asynchrony; Linoleic acid; Oleic acid",,Article,"Final","",Scopus,2-s2.0-84994388360
"Malinee R., Stratoulias D., Nuthammachot N.","57222573963;56270527600;57204889352;","Detection of oil palm disease in plantations in krabi province, thailand with high spatial resolution satellite imagery",2021,"Agriculture (Switzerland)","11","3","251","","",,,"10.3390/agriculture11030251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103283415&doi=10.3390%2fagriculture11030251&partnerID=40&md5=5be5338cf7e7760bb290448939d94134","Disease; Maximum likelihood classification; Oil palm; Spectroscopy; Vegetation index; WorldView-2",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85103283415
"Yamin M., Ismail W.I.B.W., Kassim M.S.B.M., Aziz S.B.A., Shamshiri R., Akbar F.N., Ibrahim M.","38962362500;6603897473;55205598600;57210310868;55308184200;56688300300;7402468437;","Development and calibration of orp sensor for the estimation of macronutrients in the soil of oil palm plantation",2020,"Pakistan Journal of Agricultural Sciences","57","5",,"1363","1369",,,"10.21162/PAKJAS/20.9946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093889993&doi=10.21162%2fPAKJAS%2f20.9946&partnerID=40&md5=3c8f8f31ee7a3ad8e6b65e02ce2fedc5","NPK nutrients; Oil palm; ORP meter; ORP sensor; Oxidation-reduction potential",,Article,"Final","",Scopus,2-s2.0-85093889993
"Iswari N.M.S., Wella, Ranny","56593208200;57195938951;56118825200;","Fruitylicious: Mobile application for fruit ripeness determination based on fruit image",2017,"Proceedings - 2017 10th International Conference on Human System Interactions, HSI 2017",,,"8005025","183","187",,9,"10.1109/HSI.2017.8005025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030262284&doi=10.1109%2fHSI.2017.8005025&partnerID=40&md5=15a2807e497f87af5aaeda26c5a2dd46","Brix; Fruit ripeness; Fruitylicious; Image processing; K-Nearest Neighbour","Image processing; Nearest neighbor search; Processing; Brix; Conventional measurements; Fruit ripeness; Fruitylicious; Image processing - methods; K-nearest neighbor method; K-nearest neighbours; Measuring instruments; Fruits",Conference Paper,"Final","",Scopus,2-s2.0-85030262284
"Tu S., Xue Y., Zheng C., Qi Y., Wan H., Mao L.","56472292000;12241464400;36629646600;57189216159;55541946400;37037971500;","Detection of passion fruits and maturity classification using Red-Green-Blue Depth images",2018,"Biosystems Engineering","175",,,"156","167",,36,"10.1016/j.biosystemseng.2018.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054193292&doi=10.1016%2fj.biosystemseng.2018.09.004&partnerID=40&md5=86faabf96e0bd20a66d0d8735e0925fc","DSIFT; Faster R-CNN; Fruit detection and maturity identification; Locality-constrained linear coding","Classification (of information); Data acquisition; Fruits; Image classification; Image enhancement; Intelligent robots; Mathematical transformations; Neural networks; Support vector machines; Classification accuracy; Convolutional neural network; DSIFT; Faster R-CNN; Linear coding; Linear Support Vector Machines; Machine vision algorithm; Scale invariant features; Mapping",Article,"Final","",Scopus,2-s2.0-85054193292
"Glinskis E.A., Gutiérrez-Vélez V.H.","57204073515;23097855200;","Quantifying and understanding land cover changes by large and small oil palm expansion regimes in the Peruvian Amazon",2019,"Land Use Policy","80",,,"95","106",,21,"10.1016/j.landusepol.2018.09.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054362613&doi=10.1016%2fj.landusepol.2018.09.032&partnerID=40&md5=89319c903dd3ba44fd5d23335074332f","Climate change; Environmental governance; Forest conservation; Land use change; Oil palm; Peruvian Amazon; Remote sensing; Satellite; Sentinel","conservation; evergreen forest; expansion; land cover; land use change; plantation; policy analysis; remote sensing; satellite data; Sentinel; spatial analysis; sustainability; Amazonia; Peru; Pucallpa; Ucayali; Elaeis",Article,"Final","",Scopus,2-s2.0-85054362613
"Chan Y.K., Koo V.C., Chuah H.T.","9243982200;55663712200;7005188026;","The progress of unmanned aerial vehicle synthetic aperture radar development for environmental monitoring",2013,"Progress in Electromagnetics Research Symposium",,,,"983","986",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877978639&partnerID=40&md5=94c3e738a288169976e6a14f85de38fc",,"Development costs; Disaster monitoring; Environmental Monitoring; Military surveillance; Monitoring and management; Multi-functional; Oil palm plantations; Single polarization; Palm oil; Radar astronomy; Radar systems; Sensors; Synthetic aperture radar",Conference Paper,"Final","",Scopus,2-s2.0-84877978639
"Comte I., Colin F., Grünberger O., Whalen J.K., Harto Widodo R., Caliman J.-P.","55185125400;7005812081;6507842550;7102836237;56582556300;6506152080;","Watershed-scale assessment of oil palm cultivation impact on water quality and nutrient fluxes: a case study in Sumatra (Indonesia)",2015,"Environmental Science and Pollution Research","22","10",,"7676","7695",,13,"10.1007/s11356-015-4359-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937758131&doi=10.1007%2fs11356-015-4359-0&partnerID=40&md5=9708bd0456131e35f3b78d079305872a","Baseflow; Nutrient fluxes; Oil palm; Water quality; Watershed scale","fertilizer; ground water; soil; Arecaceae; chemistry; ecosystem; growth, development and aging; Indonesia; soil; standards; water quality; Arecaceae; Ecosystem; Fertilizers; Groundwater; Indonesia; Soil; Water Quality",Article,"Final","",Scopus,2-s2.0-84937758131
"Wu W., Zheng J., Li W., Fu H., Yuan S., Yu L.","57218125557;57207468262;57191833776;8713118400;57213198049;55277716700;","Domain adversarial neural network-based oil palm detection using high-resolution satellite images",2020,"Proceedings of SPIE - The International Society for Optical Engineering","11394",,"1139406","","",,,"10.1117/12.2557829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087963298&doi=10.1117%2f12.2557829&partnerID=40&md5=cc381b97c85963f04e58d1672caf8e48","Domain adaptation; Object detection; Oil palm; Remote sensing","Automatic target recognition; Deep neural networks; Palm oil; Palmprint recognition; Classification tasks; Domain adaptation; Feature extractor; High resolution satellite images; Invariant representation; Oil palm plantations; Remotely sensed images; Unlabeled samples; Neural networks",Conference Paper,"Final","",Scopus,2-s2.0-85087963298
"Saputra N., Sasmoko, Abdinagoro S.B.","57204048565;56958616200;57193864630;","The holistic work engagement: A study In indonesia oil palm industry",2018,"International Journal of Engineering and Technology(UAE)","7","4",,"1","7",,,"10.14419/ijet.v7i4.9.20607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054271347&doi=10.14419%2fijet.v7i4.9.20607&partnerID=40&md5=3fee19ae7f085e44fae480ea17c7e0a3","Holistic framework HRD; Spirituality; Work engagement",,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85054271347
"Nnodim C.T., Fath El-Bab A.M.R., Ikua B.W., Sila D.N.","57213353069;17433761800;6506831585;6506117421;","Design and simulation of a tactile sensor for fruit ripeness detection",2019,"Lecture Notes in Engineering and Computer Science","2019-October",,,"390","395",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083388205&partnerID=40&md5=4e20ca1aaea717f13d5fa244d18046fb","Elastic modulus; Mango fruit; Simulation; Tactile sensor","Compression testing; Design; Elastic moduli; ANSYS parametric design language; Design and simulation; Design procedure; Detailed design; High sensitivity; Measuring ranges; Mechanical damages; Universal testing machines; Fruits",Conference Paper,"Final","",Scopus,2-s2.0-85083388205
"Syahza A.","57203590150;","The potential of environmental impact as a result of the development of palm oil plantation",2019,"Management of Environmental Quality: An International Journal","30","5",,"1072","1094",,6,"10.1108/MEQ-11-2018-0190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064012019&doi=10.1108%2fMEQ-11-2018-0190&partnerID=40&md5=c89b25ff6fc91db97edb83d4e0de902d","Environmental impact; Palm oil plantation; Potential","agricultural production; environmental impact assessment; plantation; productivity; rural area; socioeconomic impact; soil fertility; sustainability; vegetable oil; Indonesia; Riau; Elaeis",Article,"Final","",Scopus,2-s2.0-85064012019
"Karim S.A.A., Kadir E.A., Nasution A.H.","36161979400;57217215616;6701746699;","Optimization based model using fuzzy and other statistical techniques towards environmental sustainability",2020,"Optimization Based Model Using Fuzzy and Other Statistical Techniques Towards Environmental Sustainability",,,,"1","81",,1,"10.1007/978-981-15-2655-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088475089&doi=10.1007%2f978-981-15-2655-8&partnerID=40&md5=4d6a41ea6875f67936c512b79c881263","Air solar collector; Biomass activated carbon; Cognates recognition; Comprehensive bilingual dictionaries; Fuzzy weighted multivariate regression; Mathematical prediction model; Oil palm shell; Water pollution monitoring system; Water quality index; Water-based drilling fluid",,Book,"Final","",Scopus,2-s2.0-85088475089
"Pardon L., Ian Huth N., Netelenbos Nelson P., Banabas M., Gabrielle B., Bessou C.","57148101900;57216193445;55085284800;14622073000;6603049348;36157826400;","Yield and nitrogen losses in oil palm plantations: Main drivers and management trade-offs determined using simulation",2017,"Field Crops Research","210",,,"20","32",,11,"10.1016/j.fcr.2017.05.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019976185&doi=10.1016%2fj.fcr.2017.05.016&partnerID=40&md5=c1800861acb803778094c54aa3642d6b","APSIM-Oil palm; Environmental impact; Morris sensitivity analysis; Nutrient use efficiency; Perennial crop","agricultural management; agricultural modeling; crop plant; crop yield; environmental impact; fertilizer application; legume; nitrogen; nitrous oxide; nutrient loss; nutrient use efficiency; perennial plant; plantation; sensitivity analysis; trade-off; Papua New Guinea; Elaeis",Article,"Final","",Scopus,2-s2.0-85019976185
"Yamin M., Bin Wan Ismail W.I., Bin Mohd Kassim M.S., Aziz S.B.A., Akbar F.N., Shamshiri R.R., Ibrahim M., Mahns B.","38962362500;57218899047;57218900787;57210310868;56688300300;55308184200;7402468437;57216545896;","Modification of colorimetric method based digital soil test kit for determination of macronutrients in oil palm plantation",2020,"International Journal of Agricultural and Biological Engineering","13","4",,"188","197",,1,"10.25165/j.ijabe.20201304.5694","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090672495&doi=10.25165%2fj.ijabe.20201304.5694&partnerID=40&md5=ee130aaa5a5485024e97aa2bada3986d","Colorimetric method; Data acquisition system; Digital soil test kit; NPK measurement; Oil palm; Variable rate fertilizer applicator",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85090672495
"Aziz N.H.A., Othman K.A., Sarnin S.S., Ali Y.I.M.","35408481100;36240903800;35975322300;36241241700;","Wireless system for temperature monitoring in oil palm bio-laboratory",2009,"5th International Conference on MEMS NANO, and Smart Systems, ICMENS 2009",,,"5489309","234","238",,1,"10.1109/ICMENS.2009.54","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955344222&doi=10.1109%2fICMENS.2009.54&partnerID=40&md5=73dfd568dbdc5dfc1a4a9a3bc70992c9","Oil palm; Temperature; Wireless","Digital devices; Digital storage; Information use; Nanosensors; Personal computers; Radio; Radio transceivers; Temperature; Temperature sensors; Tissue culture; Wire products; Oil palm; Research and development; Temperature data; Temperature monitoring; Temperature values; Wired connection; Wireless devices; Wireless sensor technology; Palm oil",Conference Paper,"Final","",Scopus,2-s2.0-77955344222
"Koay J.-Y., Yan T.-Y., Lim K.-S., Ewe H.-T.","16203179600;56121615200;54786660000;55663557100;","A microwave scattering model for the remote sensing of oil palm plantations",2009,"Progress in Electromagnetics Research Symposium","2",,,"1212","1215",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898967224&partnerID=40&md5=f9afb922476a8fbfe6aa0b39234da80e",,"Climate change; Deforestation; Meteorological instruments; Remote sensing; Research; Backscattering coefficients; Dense medium radiative transfers; Global climate changes; Impact on the environment; Microwave remote sensing; Microwave scattering model; Monitoring applications; Scatterometer measurements; Palm oil",Conference Paper,"Final","",Scopus,2-s2.0-84898967224
[No author name available],[No author id available],"MATEC Web of Conferences",2016,"MATEC Web of Conferences","59",,,"","",239,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009424618&partnerID=40&md5=a154948c8605cd61c9c5d577fd0529cc",,,Conference Review,"Final","",Scopus,2-s2.0-85009424618
"Srivastava S., Sadisatp S.","57213822491;56784354600;","Development of a low cost optimized handheld embedded odor sensing system (HE-Nose) to assess ripeness of oranges",2016,"Journal of Food Measurement and Characterization","10","1",,"1","15",,4,"10.1007/s11694-015-9270-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958122350&doi=10.1007%2fs11694-015-9270-3&partnerID=40&md5=0ccc0b69879221f499d9aa76c870b8e5","Electronic nose; Fruit ripeness; Levenberg–Marquardt (LM) back-propagation algorithm; Metal oxide gas sensors; Multivariate data techniques","Backpropagation; Backpropagation algorithms; Chemical sensors; Citrus fruits; Correlation detectors; Cultivation; Data acquisition; Forecasting; Gas detectors; Ionization of gases; Metals; Multivariant analysis; Sensory aids; Commercial standards; Development and applications; Electronic nose systems; Environmental conditions; Fruit ripeness; Metal oxide gas sensors; Multivariate data; Multivariate data analysis; Electronic nose",Article,"Final","",Scopus,2-s2.0-84958122350
"Razi M.K.M., Ismail M.H., Shafri H.Z.M.","56153142300;24830707500;24072139200;","Fusion technique of LiDAR and airphoto imagery for oil palm classification",2013,"34th Asian Conference on Remote Sensing 2013, ACRS 2013","2",,,"1317","1325",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903450986&partnerID=40&md5=baf9237d227ee97dea9d4a6e8254fd38","Airphoto imagery; Fusion; LiDAR; LULC; Oil palm plantation","Fusion reactions; Highway planning; Optical radar; Remote sensing; Seed; Temperature control; Airphoto; Geospatial technology; High spatial resolution; Land-use and land cover classifications; Light detection and ranging; LULC; Oil palm plantations; Remote sensing technology; Palm oil",Conference Paper,"Final","",Scopus,2-s2.0-84903450986
"Radin R., Abu Bakar R., Ishak C.F., Ahmad S.H., Tsong L.C.","57200988204;57190255016;6505841564;56717087300;56856855300;","Biochar-compost mixture as amendment for improvement of polybag-growing media and oil palm seedlings at main nursery stage",2018,"International Journal of Recycling of Organic Waste in Agriculture","7","1",,"11","23",,13,"10.1007/s40093-017-0185-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042747100&doi=10.1007%2fs40093-017-0185-3&partnerID=40&md5=6ee0440fb7b69a657fd3e26ebbaa30d1","Biochar; Compost; Nutrient retention; Oil palm nursery; Oil palm waste","biochar; biomass; compost; seedling; soil amendment; soil nutrient; waste; Elaeis",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85042747100
"Yew M.K., Yew M.C., Beh J.H., Saw L.H., Lee F.W., Ng T.C.","36770106800;36877224600;57202002676;55791543200;56239335100;57194110299;","Influence of high-performance polypropylene fibre and heat-treated dura oil palm shell on durability properties of lightweight concrete",2020,"European Journal of Environmental and Civil Engineering","24","14",,"2469","2488",,4,"10.1080/19648189.2018.1509022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055744386&doi=10.1080%2f19648189.2018.1509022&partnerID=40&md5=22a3dd14311fb71e41125acc2d808512","durability; environmental performance; Lightweight concrete; oil palm shell; polypropylene fibre; rapid chloride penetration test","Agricultural robots; Chlorine compounds; Compressive strength; Concrete aggregates; Concrete mixtures; Construction industry; Drying; Environmental management; Fiber reinforced materials; Fibers; Light weight concrete; Palm oil; Polypropylenes; Porosity; Reinforced concrete; Shells (structures); Shrinkage; Water absorption; Durability of concretes; Environmental performance; Fresh and hardened properties; Initial surface absorptions; Oil palm; Polypropylene fibres; Rapid chloride penetration tests; Stress strain behaviours; Durability",Article,"Final","",Scopus,2-s2.0-85055744386
"Murugan P., Ong S.Y., Hashim R., Kosugi A., Arai T., Sudesh K.","57191189464;37000775600;35237015200;7007093308;7404175420;6602451896;","Development and evaluation of controlled release fertilizer using P(3HB-co-3HHx) on oil palm plants (nursery stage) and soil microbes",2020,"Biocatalysis and Agricultural Biotechnology","28",,"101710","","",,,"10.1016/j.bcab.2020.101710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089099902&doi=10.1016%2fj.bcab.2020.101710&partnerID=40&md5=7ebb2c096000f1644ed8104362564846","Biological recovery; Controlled release fertilizer; Oil palm; Polyhydroxyalkanoates",,Article,"Final","",Scopus,2-s2.0-85089099902
"de Farias M.P., de Capdeville G., Falcão R., de Moraes P.B., Leão A.P., Camillo J., da Cunha R.N.V., Alves A.A., Souza M.T., Júnior","57201822396;6506212587;7006585680;57201821847;56985679000;29667514400;34970934000;55796630099;7102353785;","Microscopic characterization of American oil palm (Elaeis oleifera (Kunth) Cortés) floral development",2018,"Flora: Morphology, Distribution, Functional Ecology of Plants","243",,,"88","100",,3,"10.1016/j.flora.2018.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046168039&doi=10.1016%2fj.flora.2018.04.005&partnerID=40&md5=6b109836e780c38fea8a5aeecb374bbd","Caiaué; Cytogenetics; Elaeis guineensis; In situ hybridization; Inflorescence; Microsporocytes","anatomy; cytogenetics; developmental biology; developmental stage; flower; forest ecosystem; genetic variation; histology; hybridization; in situ measurement; microscopy; monocotyledon; plant breeding; temporal variation; Amazonia; Brazil; Elaeis guineensis; Elaeis oleifera",Article,"Final","",Scopus,2-s2.0-85046168039
"Azhan M.N.H.M., Razali M.H.B.H., Masrek M.N., Puteh A.Q.","57222741198;57203644974;16507234500;57222745059;","Soil electrical conductivity mapping system using intelligence sensor at young oil palm area",2021,"Agricultural Engineering International: CIGR Journal","23","1",,"274","283",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103926243&partnerID=40&md5=bdb3b723ae7fdcfa1268f275a6fce6ac","ArcGIS; Deep; GPS; Intelligence sensor; Shallow; Soil EC; Veris 3100",,Article,"Final","",Scopus,2-s2.0-85103926243
"Wibawa W., Mohamad R.B., Omar D., Mohd. Zain N., Puteh A.B., Awang Y.","22956286000;26642579100;6506117808;37010427000;6506483258;23491509800;","Comparative impact of a single application of selected broad spectrum herbicides on ecological components of oil palm plantation",2010,"African Journal of Agricultural Research","5","16",,"2097","2102",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049481427&partnerID=40&md5=c692c52b08fc9f7f7b30d0460e820846","Glufosinate-ammonium; Glyphosate; Herbicide efficacy; Mixed weeds; Paraquat; Young oil palm","Bacteria (microorganisms); Elaeis; Fungi",Article,"Final","",Scopus,2-s2.0-78049481427
"Niu F., Röll A., Hardanto A., Meijide A., Köhler M., Hendrayanto, Hölscher D.","56677370000;56677614800;56677710300;16047898600;57196780116;7409620536;7004015391;","Oil palm water use: Calibration of a sap flux method and a field measurement scheme",2015,"Tree Physiology","35","5",,"563","573",,28,"10.1093/treephys/tpv013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930809149&doi=10.1093%2ftreephys%2ftpv013&partnerID=40&md5=8e5646f9ffddebbffe7b5601f184fe45","environmental drivers; error margins; sample size; thermal dissipation probes; transpiration","dissipation; error analysis; field method; gravimetry; laboratory method; monocotyledon; monoculture; sampling; sap flow; transpiration; vapor pressure; water use; Indonesia; Jambi [Indonesia]; Elaeis; Elaeis guineensis; water; Arecaceae; botany; calibration; evapotranspiration; metabolism; physiology; plant leaf; plant stem; procedures; tree; vapor pressure; Arecaceae; Botany; Calibration; Plant Leaves; Plant Stems; Plant Transpiration; Trees; Vapor Pressure; Water",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84930809149
"Taniwaki M., Sakurai N.","15045908400;55770412000;","Evaluation of the internal quality of agricultural products using acoustic vibration techniques",2010,"Journal of the Japanese Society for Horticultural Science","79","2",,"113","128",,44,"10.2503/jjshs1.79.113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951619667&doi=10.2503%2fjjshs1.79.113&partnerID=40&md5=5d63bbfb434b602f523388a49f1a7975","Acoustic vibtration; Nondestructive measurement; Postharvest quality evaluation; Texture measurement",,Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-77951619667
"Abdul Aziz F.N.A., Bida S.M., Nasir N.A.M., Jaafar M.S.","35809792700;56399287500;57217211526;7004316170;","Properties of cement treated tire crumb and oil palm fruit fiber mortar",2015,"ISEC 2015 - 8th International Structural Engineering and Construction Conference: Implementing Innovative Ideas in Structural Engineering and Project Management",,,,"625","630",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960984179&partnerID=40&md5=05947af190c941230c42ff81aa8c1fe7","Lightweight aggregates; Lightweight mortar; Tire pre treatement; Waste tire","Additives; Aggregates; Cements; Compressive strength; Fruits; Mortar; Palm oil; Project management; Structural design; Tires; Water absorption; Absorption measurements; Light weight aggregate; Lightweight mortars; Mortar specimens; Oil palm fruits; Properties of concretes; Research studies; Waste tires; Strength of materials",Conference Paper,"Final","",Scopus,2-s2.0-84960984179
"Nasri N.N., Nawi N.M., Baharuddin A.S., Lazim S.M.","57256385900;57189925855;26021042500;57193028581;","Determination of tensile properties for twisted fibre bundles of oil palm empty fruit bunch at different diameters",2021,"Basrah Journal of Agricultural Sciences","34","Special Issue 1",,"149","156",,,"10.37077/25200860.2021.34.SP1.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114773881&doi=10.37077%2f25200860.2021.34.SP1.15&partnerID=40&md5=91ce49b91c25644f0f9a5a1f7cda56d5","Diameter; Empty fruit bunch; Fibre; Oil palm; Tensile properties",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85114773881
[No author name available],[No author id available],"2006 International RF and Microwave Conference, (RFM) Proceedings",2006,"2006 International RF and Microwave Conference, (RFM) Proceedings",,,,"","",469,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-46149110821&partnerID=40&md5=d2721a81e36b19068b7113254155dd83",,"Agricultural products; Amplifiers (electronic); Antenna accessories; Antennas; Broadband amplifiers; Communication; Communication systems; Frequency allocation; Frequency division multiplexing; Fruits; Low noise amplifiers; Microwave devices; Millimeter wave devices; MIM devices; MOSFET devices; Networks (circuits); Orthogonal frequency division multiplexing; Power amplifiers; Rubber applications; Telecommunication systems; Wooden buildings; building constructions; Clipping techniques; Code division multiple access (CDMA) system; Coplanar waveguide (CPW) feed; Distributed power; International (CO); Large signals; Low noise; Low-pass; Microwave communication systems; Microwave moisture; Millimeter wave circuits; Monopole antennas; OFDM systems; Oil palm fruits; Peak to average power ratio reduction (PAPR); performance analyses; Power consumption (CE); Property (S); Rf applications; RF MOSFET; Rubber latexes; Signal penetration; Solid state radio frequency (RF) power amplifiers; Systematic (CO); Ultra- WideBand (UWB); Wide bands; Microwaves",Conference Review,"Final","",Scopus,2-s2.0-46149110821
