Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Gomes-Junior, F.G., Arruda, N., Marcos-Filho, J.","35104763700;36453636600;8654210300;","Swingle citrumelo seed vigor and storability associated with fruit maturity classes based on RGB parameters",2017,"Scientia Agricola","74","5",,"357","363",,3,"10.1590/1678-992x-2016-0173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024104886&doi=10.1590%2f1678-992x-2016-0173&partnerID=40&md5=f9346f18fb1595557644c2fd1d9dc48c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85024104886
"Nordey, T., Léchaudel, M., Génard, M., Joas, J.","56118684100;6505802319;7003761739;6507856865;","Spatial and temporal variations in mango colour, acidity, and sweetness in relation to temperature and ethylene gradients within the fruit",2014,"Journal of Plant Physiology","171","17",,"1555","1563",,13,"10.1016/j.jplph.2014.07.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907323962&doi=10.1016%2fj.jplph.2014.07.009&partnerID=40&md5=cab673e909147cf77dcaf875fbb63bd8",Article,"Final","",Scopus,2-s2.0-84907323962
"Defilippi, B.G., Juan, W.S., Valdés, H., Moya-León, M.A., Infante, R., Campos-Vargas, R.","6507163310;25225874400;56926496100;6505937674;14826902200;56065674900;","The aroma development during storage of Castlebrite apricots as evaluated by gas chromatography, electronic nose, and sensory analysis",2009,"Postharvest Biology and Technology","51","2",,"212","219",,52,"10.1016/j.postharvbio.2008.08.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57149100361&doi=10.1016%2fj.postharvbio.2008.08.008&partnerID=40&md5=0c783b9de09f37d9c56ab718da2f340a",Article,"Final","",Scopus,2-s2.0-57149100361
"Noh, H.K., Lu, R.","36771387700;56745303300;","UV/blue light-induced fluorescence for assessing apple maturity",2005,"Proceedings of SPIE - The International Society for Optical Engineering","5996",,"59960I","","",,2,"10.1117/12.629901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644617942&doi=10.1117%2f12.629901&partnerID=40&md5=93f5d0846549b7274d3958fa42e23b5c",Conference Paper,"Final","",Scopus,2-s2.0-33644617942
"Stewardson, C.L., Prvan, T., Meyer, M.A., Swanson, S., Ritchie, R.J.","6507088557;6506679240;56408715500;7202783090;7201592316;","Suture index and growth in the male South African fur seal, Arctocephalus pusillus (Pinnipedia: Otariidae)",2011,"Proceedings of the Linnean Society of New South Wales","132",,,"157","168",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904337918&partnerID=40&md5=2a4aa73e2c94fe3d28e55d19dda3cc13",Article,"Final","",Scopus,2-s2.0-84904337918
"Samat, N., Sulaiman, M.A., Ahmad, Z., Anuar, H.","25823436400;57214138741;36774282100;10244355600;","A comparative study on the desiccant effect of polypropylene and polylactic acid composites reinforced with different lignocellulosic fibres",2021,"Journal of Applied Science and Engineering (Taiwan)","24","2",,"223","231",,1,"10.6180/jase.202104_24(2).0011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099615177&doi=10.6180%2fjase.202104_24%282%29.0011&partnerID=40&md5=5dc24985a47ac37b9288cddf54ed79a2",Article,"Final","",Scopus,2-s2.0-85099615177
"Martínez M., L.J.","6505984425;","Relationship between crop nutritional status, spectral measurements and sentinel 2 images [Relación entre el estado nutricional de los cultivos, las mediciones espectrales y las imágenes Sentinel 2]",2017,"Agronomia Colombiana","35","2",,"205","215",,8,"10.15446/agron.colomb.v35n2.62857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041132092&doi=10.15446%2fagron.colomb.v35n2.62857&partnerID=40&md5=dda1c3de06c2a4fbcc1b920411bcbd63",Article,"Final","",Scopus,2-s2.0-85041132092
"Nayim, S., Chandra Jana, G., Aktara, M.N., Khatun, M., Das, S., Islam, M.M., Jha, P.K., Hossain, M.","57200628539;57205267431;57192116313;57197017403;24579105000;56917311700;36605691400;12782809300;","Berberine derivatives as heteroatom induced hydrophobic sensor: An analytical approach for the selective and sensitive fluorometric detection and discrimination of serum albumins",2019,"Analytica Chimica Acta","1065",,,"124","133",,6,"10.1016/j.aca.2019.03.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063114259&doi=10.1016%2fj.aca.2019.03.026&partnerID=40&md5=721bbbb6d29ad8fea0dcaa721123c66c",Article,"Final","",Scopus,2-s2.0-85063114259
"Neilsen, D., Neilsen, G., Forge, T.","57204341138;7005012977;6603739695;","Building resilience: Future directions in mineral nutrition of woody perennial crops",2018,"Acta Horticulturae","1217",,,"1","11",,4,"10.17660/ActaHortic.2018.1217.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057821303&doi=10.17660%2fActaHortic.2018.1217.1&partnerID=40&md5=5b38ecaf555cef4c60e2f92c72b8ae14",Article,"Final","",Scopus,2-s2.0-85057821303
"Vanoli, M., Bianchi, G., Rizzolo, A., Lurie, S., Spinelli, L., Torricelli, A.","7003695248;55184264900;55923204900;7102609679;7006522260;7003698688;","Electronic nose pattern, sensory profile and flavor components of cold stored 'Spring Belle' peaches: Influence of storage temperatures and fruit maturity assessed at harvest by time-resolved reflectance spectroscopy",2015,"Acta Horticulturae","1084",,,"687","694",,,"10.17660/actahortic.2015.1084.92","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086950391&doi=10.17660%2factahortic.2015.1084.92&partnerID=40&md5=49489605cb4f3290300ca81eaac9e5f4",Article,"Final","",Scopus,2-s2.0-85086950391
"Vanoli, M., Bianchi, G., Rizzolo, A., Lurie, S., Spinelli, L., Torricelli, A.","7003695248;55184264900;55923204900;7102609679;7006522260;7003698688;","Electronic nose pattern, sensory profile and flavor components of cold stored 'Spring Belle' peaches: Influence of storage temperatures and fruit maturity assessed at harvest by time-resolved reflectance spectroscopy",2015,"Acta Horticulturae","1084",,,"687","694",,1,"10.17660/ActaHortic.2015.1084.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940398439&doi=10.17660%2fActaHortic.2015.1084.19&partnerID=40&md5=3a0cf4385fa961fc45ca7bb4e23f73fe",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84940398439
"Thapa, R.B., Watanabe, M., Motohka, T., Shiraishi, T., Shimada, M.","23101280300;55576078700;35146408200;54414914800;35473149000;","Calibration of aboveground forest carbon stock models for major tropical forests in central sumatra using airborne LiDAR and FIELD MEASUREMENT DATA",2015,"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","8","2","6838977","661","673",,18,"10.1109/JSTARS.2014.2328656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028168163&doi=10.1109%2fJSTARS.2014.2328656&partnerID=40&md5=c322351482d998a847f164fdcd8bb224",Article,"Final","",Scopus,2-s2.0-85028168163
"Kurnianto, S., Selker, J., Boone Kauffman, J., Murdiyarso, D., Peterson, J.T.","38561648200;7004454874;7801469281;6602561743;34974695800;","The influence of land-cover changes on the variability of saturated hydraulic conductivity in tropical peatlands",2019,"Mitigation and Adaptation Strategies for Global Change","24","4",,"535","555",,6,"10.1007/s11027-018-9802-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044215975&doi=10.1007%2fs11027-018-9802-3&partnerID=40&md5=def3a63253ae67924626f8d9325ec520",Article,"Final","",Scopus,2-s2.0-85044215975
"Zambrano-Vaca, C., Zotarelli, L., Morgan, K.T., Migliaccio, K.W., Beeson, R.C., Chaparro, J.X., Olmstead, M.A.","57188878116;16837636500;7401575593;15840047700;6701341582;6602081557;7101821764;","Water uptake dynamics for adult peach trees in a subtropical humid climate",2020,"Scientia Horticulturae","267",,"109318","","",,,"10.1016/j.scienta.2020.109318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080102948&doi=10.1016%2fj.scienta.2020.109318&partnerID=40&md5=5aec87ea90aed6396704fe61fadedca8",Article,"Final","",Scopus,2-s2.0-85080102948
"Gutiérrez, S., Wendel, A., Underwood, J.","56927814100;57190132744;17347180400;","Ground based hyperspectral imaging for extensive mango yield estimation",2019,"Computers and Electronics in Agriculture","157",,,"126","135",,13,"10.1016/j.compag.2018.12.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059198535&doi=10.1016%2fj.compag.2018.12.041&partnerID=40&md5=e4a8c5a62b9477397196b9d6f10b51ca",Article,"Final","",Scopus,2-s2.0-85059198535
"Zulkarnain, M.T., Putra, A.E., Widayati, A.","56237498200;56237768100;23969615200;","Landcover mapping of tanjung jabung barat, jambi using Landsat - ALOS PALSAR data fusion and object-based hierarchical classification",2013,"34th Asian Conference on Remote Sensing 2013, ACRS 2013","2",,,"1225","1231",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903489750&partnerID=40&md5=6fbc703dd833c44b663bd25db974be48",Conference Paper,"Final","",Scopus,2-s2.0-84903489750
"Alenazi, M.M., Shafiq, M., Alsadon, A.A., Alhelal, I.M., Alhamdan, A.M., Solieman, T.H.I., Ibrahim, A.A., Shady, M.R., Saad, M.A.O.","44161014400;35327950700;23567460800;57216370549;6602875150;55521678800;56572025400;55619978900;57208013996;","Non-destructive assessment of flesh firmness and dietary antioxidants of greenhouse-grown tomato (Solanum lycopersicum L.) at different fruit maturity stages",2020,"Saudi Journal of Biological Sciences","27","10",,"2839","2846",,3,"10.1016/j.sjbs.2020.07.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088374184&doi=10.1016%2fj.sjbs.2020.07.004&partnerID=40&md5=b104bf365a20b598216b949df52fa857",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85088374184
"Alfaro-Alpízar, M.A., Koster, S.J.C., Johnson, M.T., Badenes-Pérez, F.R.","36930023400;7004541369;57202478341;7801410587;","Description, Biology, and Impact of the Fruit-Feeding Moth, Mompha luteofascia sp. n. (Lepidoptera: Momphidae), on Miconia calvescens (Melastomataceae) in Costa Rica",2020,"Annals of the Entomological Society of America","113","1",,"30","39",,,"10.1093/aesa/saz052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084406234&doi=10.1093%2faesa%2fsaz052&partnerID=40&md5=c4cd52ad7e6e71765e516d9966b44f51",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85084406234
"Cayuela, J.A., Camino, M.D.C.P.","7004144340;56600472500;","Prediction of quality of intact olives by near infrared spectroscopy",2010,"European Journal of Lipid Science and Technology","112","11",,"1209","1217",,36,"10.1002/ejlt.201000372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78349260093&doi=10.1002%2fejlt.201000372&partnerID=40&md5=7d5cc874e42c754252b36a499885dcd4",Article,"Final","",Scopus,2-s2.0-78349260093
"Dick, E., N'Da Adopo, A., Camara, B., Moudioh, E.","26023001900;26023645900;25928238500;26023568200;","Influence of maturity stage of mango at harvest on its ripening quality",2009,"Fruits","64","1",,"13","18",,21,"10.1051/fruits/2008045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58849133726&doi=10.1051%2ffruits%2f2008045&partnerID=40&md5=2a203404770b921a87d76986b36d94f3",Article,"Final","All Open Access, Green",Scopus,2-s2.0-58849133726
"Bangerth, K.F.","7003782202;","Possible interferences of pre-harvest factors with the storage behaviour and quality of fruit",2008,"Acta Horticulturae","796",,,"19","29",,7,"10.17660/ActaHortic.2008.796.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149107142&doi=10.17660%2fActaHortic.2008.796.1&partnerID=40&md5=c7de15af4dcc2b9cf1f9de644d55c32f",Conference Paper,"Final","",Scopus,2-s2.0-58149107142
"Sari, M., Sonmez, N.K., Karaca, M.","15926068100;14038224100;57215411599;","Relationship between chlorophyll content and canopy reflectance in Washington navel orange trees (Citrus sinensis (L.) Osbeck)",2006,"Pakistan Journal of Botany","38","4",,"1093","1102",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248581097&partnerID=40&md5=37186b6d6062242b2efdd7030871f6a2",Article,"Final","",Scopus,2-s2.0-34248581097
"Watanabe, K., Nishihara, E., Watanabe, S., Tanaka, T., Takahashi, K., Takeuchi, Y.","55704882800;36781216300;56390198800;57196601051;55500734900;57191477141;","Enhancement of growth and fruit maturity in 2-year-old grapevines cv. Delaware by 5-aminolevulinic acid",2006,"Plant Growth Regulation","49","1",,"35","42",,30,"10.1007/s10725-006-0024-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744499218&doi=10.1007%2fs10725-006-0024-4&partnerID=40&md5=3bd8466d1f108e126e055bdc7063146f",Article,"Final","",Scopus,2-s2.0-33744499218
"Lopez, R.G., Howell, G.S., Petrie, P.R.","9736701400;7102773780;6701846139;","Photosynthetic inhibition of 'seyval blanc' grapevines with terbacil",2004,"Acta Horticulturae","640",,,"155","161",,5,"10.17660/ActaHortic.2004.640.17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36349024699&doi=10.17660%2fActaHortic.2004.640.17&partnerID=40&md5=b98bd8c7852fa0259228847ccb941d4e",Conference Paper,"Final","",Scopus,2-s2.0-36349024699
"Serra, S., Leisso, R., Giordani, L., Kalcsits, L., Musacchi, S.","36151444000;57201970967;54894285300;26534512500;6508189963;","Crop load influences fruit quality, nutritional balance, and return bloom in ‘Honeycrisp’ apple",2016,"HortScience","51","3",,"236","244",,34,"10.21273/hortsci.51.3.236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963997706&doi=10.21273%2fhortsci.51.3.236&partnerID=40&md5=85645e9be4837304e01a94698bd603b5",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84963997706
"Yohandri, Zulpadrianto, Putra, A., Sanjaya, H., Sumantyo, J.T.S.","54386112200;57213824691;57217075950;57202279684;57211868004;","A low-cost radar absorber based on palm shell active carbon for anechoic chamber",2019,"International Journal on Advanced Science, Engineering and Information Technology","9","6",,"1976","1981",,,"10.18517/ijaseit.9.6.9961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078009134&doi=10.18517%2fijaseit.9.6.9961&partnerID=40&md5=bc3c806f81f353c5bf7c84046e51be56",Article,"Final","",Scopus,2-s2.0-85078009134
"Kamal, M.S.A., Bashir, N., Ahmad, M.H., Bamalli, Z.","57040543900;56857322300;56956176200;57041300100;","Dielectric properties and oxidation stability assessment of vegetable-based oils as insulation for power transformers",2015,"Journal of Optoelectronics and Advanced Materials","17","9-10",,"1582","1588",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953385392&partnerID=40&md5=0328f65fbd90b41ae78d684e9df8f58e",Article,"Final","",Scopus,2-s2.0-84953385392
"Garcıía-Gonzaílez, J.F., Intrigliolo, D.S., Parra, J., Guerra, D., Ortiz, M., Bartual, J.","57211883636;8245129000;57213452749;57198382138;57196488323;40460904300;","Growth patterns analysis of pomegranate fruits of ‘Mollar de Elche’ during the final phase of development and maturation",2019,"Acta Horticulturae","1254",,,"143","148",,,"10.17660/ActaHortic.2019.1254.22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075248565&doi=10.17660%2fActaHortic.2019.1254.22&partnerID=40&md5=1bbcdb1b3b2ad475e3838f8a3b74707a",Article,"Final","",Scopus,2-s2.0-85075248565
"Khorramnia, K., Shariff, A.R.M., Rahim, A.A., Mansor, S.","56203547100;13612157400;26031622900;6701532356;","Toward malaysian sustainable agriculture in 21st century",2014,"IOP Conference Series: Earth and Environmental Science","18","1","012142","","",,5,"10.1088/1755-1315/18/1/012142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902338493&doi=10.1088%2f1755-1315%2f18%2f1%2f012142&partnerID=40&md5=0f7aa6fd0c1bf935f0d79b3561f0d2e3",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-84902338493
"Borodachev, S.M.","6603551618;","Physics - Economics interdisciplinary analogies in modelling of Russian financial system",2020,"CEUR Workshop Proceedings","2562",,,"113","120",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081651044&partnerID=40&md5=ddcfd84b52660c83af78201c572d9f42",Conference Paper,"Final","",Scopus,2-s2.0-85081651044
"Badr, G., Hoffman, J.S., Bates, T.R.","55823932900;57214660985;56246105900;","Effect of cane length on concord and niagara grapevines",2018,"American Journal of Enology and Viticulture","69","4",,"386","393",,,"10.5344/ajev.2018.18019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054605958&doi=10.5344%2fajev.2018.18019&partnerID=40&md5=c51f41b291bff83a1e4352edfe08dc09",Article,"Final","",Scopus,2-s2.0-85054605958
"Mohamad, D., Suboh, N.N.","26531534200;57222901043;","Integration of sorensen and cosine similarity measure for solving fuzzy decision making problems",2021,"Journal of Physics: Conference Series","1770","1","012063","","",,,"10.1088/1742-6596/1770/1/012063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104208391&doi=10.1088%2f1742-6596%2f1770%2f1%2f012063&partnerID=40&md5=48c707dcb15b9570f4af0bc0c776a513",Conference Paper,"Final","",Scopus,2-s2.0-85104208391
"Senior, R.A., Hill, J.K., Edwards, D.P.","56457788800;54792020400;7404087101;","ThermStats: An R package for quantifying surface thermal heterogeneity in assessments of microclimates",2019,"Methods in Ecology and Evolution","10","9",,"1606","1614",,5,"10.1111/2041-210X.13257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070471935&doi=10.1111%2f2041-210X.13257&partnerID=40&md5=4091267c86127364f3cca53166a7c1f8",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85070471935
"Huang, S., Oey, L.","55937797300;7004922359;","Malay Archipelago forest loss to cash crops and urban expansion contributes to weaken the Asian summer monsoon: An atmospheric modeling study",2019,"Journal of Climate","32","11",,"3189","3205",,2,"10.1175/JCLI-D-18-0467.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066864992&doi=10.1175%2fJCLI-D-18-0467.1&partnerID=40&md5=d45bf1cb70f6e0d4f328f991fe135ee2",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85066864992
"Purnama, A.A., Mubarak, J., Daruwati, I., Roslim, D.I., Elvyra, R.","57191169936;57207258918;57207245965;57057665500;57206659463;","First report of morphological and molecular identification of greater scissortail Rasbora Caudimaculata from Rokan Hulu District, Riau Province, Indonesia",2019,"AACL Bioflux","12","1",,"34","41",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062333727&partnerID=40&md5=464df21e5fc8ee59bf747f4281f9ab28",Article,"Final","",Scopus,2-s2.0-85062333727
"Sheikhi, A., Kanniah, K.D., Ho, C.H.","56203774600;6503862357;36634410500;","Effect of land cover and green space on land surface temperature of a fast growing economic region in Malaysia",2015,"Proceedings of SPIE - The International Society for Optical Engineering","9644",,"964413","","",,8,"10.1117/12.2194796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957073153&doi=10.1117%2f12.2194796&partnerID=40&md5=4025c7e6593ae363c32961b8e0798285",Conference Paper,"Final","",Scopus,2-s2.0-84957073153
"Tokunaga, K., Konan, D.E.","56120449000;35608181600;","Home grown or imported? Biofuels life cycle GHG emissions in electricity generation and transportation",2014,"Applied Energy","125",,,"123","131",,19,"10.1016/j.apenergy.2014.03.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898845609&doi=10.1016%2fj.apenergy.2014.03.026&partnerID=40&md5=c3a75e957bee1111b22c590b11234a70",Article,"Final","",Scopus,2-s2.0-84898845609
"Rohman, A., Man, Y.B.C.","32668020600;7005546994;","Fourier transform infrared (FTIR) spectroscopy for analysis of extra virgin olive oil adulterated with palm oil",2010,"Food Research International","43","3",,"886","892",,292,"10.1016/j.foodres.2009.12.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-76349094455&doi=10.1016%2fj.foodres.2009.12.006&partnerID=40&md5=79e17e09b7feaee68073c7a146db3239",Article,"Final","All Open Access, Green",Scopus,2-s2.0-76349094455
"Jaenicke, J., Rieley, J.O., Mott, C., Kimman, P., Siegert, F.","24766368100;6602567485;7004685153;24766218400;54397525200;","Determination of the amount of carbon stored in Indonesian peatlands",2008,"Geoderma","147","3-4",,"151","158",,152,"10.1016/j.geoderma.2008.08.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53449093491&doi=10.1016%2fj.geoderma.2008.08.008&partnerID=40&md5=6a1101f4c99369ebe59f939296d19ee3",Article,"Final","",Scopus,2-s2.0-53449093491
"Kitthawee, U., Pathaveerat, S., Slaughter, D.C., Mitcham, E.J.","22950969000;24341989400;7005899700;7003271583;","Nondestructive sensing of maturity and ripeness in mango",2012,"Acta Horticulturae","943",,,"287","296",,2,"10.17660/ActaHortic.2012.943.40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863649130&doi=10.17660%2fActaHortic.2012.943.40&partnerID=40&md5=139ca4a10d6bb94b216f6d9a7b3d59f4",Conference Paper,"Final","",Scopus,2-s2.0-84863649130
"Coronado, M., Yuan, W., Wang, D., Dowell, F.","26422844200;17436550600;55521776100;7005001609;","Developing a prediction model for the blending level and properties of biodiesel-diesel blends using near- Infrared spectroscopy method",2008,"American Society of Agricultural and Biological Engineers Annual International Meeting 2008, ASABE 2008","7",,,"4365","4373",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-63049102771&partnerID=40&md5=07f73bd719c8757da5e4a4fd604a4672",Conference Paper,"Final","",Scopus,2-s2.0-63049102771
"Sikri, V.","57189383352;","The smart number plate",2016,"International Conference on Communication and Signal Processing, ICCSP 2016",,,"7754354","1255","1259",,1,"10.1109/ICCSP.2016.7754354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006835899&doi=10.1109%2fICCSP.2016.7754354&partnerID=40&md5=6cbb9d05506301da2a708283b84fe07f",Conference Paper,"Final","",Scopus,2-s2.0-85006835899
"Gomes, R., Silva, F., Oliveira, C.M.","57197784461;57225665343;55950089700;","Utilizing the IAD index to predict ‘Rocha’ pear quality and physiological disorders after storage",2021,"Acta Horticulturae","1303",,,"461","467",,,"10.17660/ActaHortic.2021.1303.63","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101209577&doi=10.17660%2fActaHortic.2021.1303.63&partnerID=40&md5=3b7764f792b25f60f4c96a6e04f81adf",Article,"Final","",Scopus,2-s2.0-85101209577
"Lo'ay, A.A., Dawood, H.D.","55342867200;57196409570;","Tolerance of ‘Baladi’ mandarin fruits to cold storage by postharvest pectin/PVA blend with ascorbic acid treatment",2019,"Scientia Horticulturae","256",,"108637","","",,8,"10.1016/j.scienta.2019.108637","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068522709&doi=10.1016%2fj.scienta.2019.108637&partnerID=40&md5=204b7894f622ccb2ee514090d32088b6",Article,"Final","",Scopus,2-s2.0-85068522709
"Richardson, A., Boldingh, H., Kashuba, P., Knight, G., Ellingham, D.","7402534119;6602513952;56997485500;57204774160;57204769589;","Flowering time determines the weight and composition of Actinidia chinensis var. chinensis ‘Zesy002’ kiwifruit",2019,"Scientia Horticulturae","246",,,"741","748",,6,"10.1016/j.scienta.2018.11.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057114226&doi=10.1016%2fj.scienta.2018.11.043&partnerID=40&md5=2df237bc6dda9aec477b6f54b82e7540",Article,"Final","",Scopus,2-s2.0-85057114226
"Christen, D., Gabioud Rebeaud, S., Cotter, P.-Y., Gasser, F.","57197313963;55547932500;56603812100;7005612936;","Influence of fruit maturity, 1-methylcyclopropene (1-MCP) treatment and storage temperature on ethylene production and firmness of ‘Goldrich’ and ‘Orangered’ apricots",2018,"Acta Horticulturae","1214",,,"159","164",,2,"10.17660/ActaHortic.2018.1214.26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056856525&doi=10.17660%2fActaHortic.2018.1214.26&partnerID=40&md5=96a88261ca1d48b38e8c91fa7c5540f8",Conference Paper,"Final","",Scopus,2-s2.0-85056856525
"Gisbert, C., Sánchez-Torres, P., Raigón, M.D., Nuez, F.","6603253005;6603347284;8519313000;7005232830;","Phytophthora capsici resistance evaluation in pepper hybrids: Agronomic performance and fruit quality of pepper grafted plants",2010,"Journal of Food, Agriculture and Environment","8","1",,"116","121",,31,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76649094257&partnerID=40&md5=1c4916d5df9396b5596de9e7d4fc5600",Article,"Final","",Scopus,2-s2.0-76649094257
"Holb, I.J., Schnabel, G.","6603012990;7003572172;","A detached fruit study on the post-inoculation activity of lime sulfur against brown rot of peach (Monilinia fructicola)",2008,"Australasian Plant Pathology","37","5",,"454","459",,10,"10.1071/AP08041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47549117748&doi=10.1071%2fAP08041&partnerID=40&md5=f486f38dd261699f8d831918fe8b1576",Article,"Final","",Scopus,2-s2.0-47549117748
"Liu, F., Savić, S., Jensen, C.R., Shahnazari, A., Jacobsen, S.E., Stikić, R., Andersen, M.N.","55509834400;14014612900;7202352308;23010000900;8607369400;8790957300;6506450736;","Water relations and yield of lysimeter-grown strawberries under limited irrigation",2007,"Scientia Horticulturae","111","2",,"128","132",,65,"10.1016/j.scienta.2006.10.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751536647&doi=10.1016%2fj.scienta.2006.10.006&partnerID=40&md5=7f2a1858da6a0067750db26f1544c840",Article,"Final","All Open Access, Green",Scopus,2-s2.0-33751536647
"Flores, A., Wiff, R., Ganias, K., Marshall, C.T.","55353825300;16417923600;16244853800;56375346300;","Accuracy of gonadosomatic index in maturity classification and estimation of maturity ogive",2019,"Fisheries Research","210",,,"50","62",,13,"10.1016/j.fishres.2018.10.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055027955&doi=10.1016%2fj.fishres.2018.10.009&partnerID=40&md5=e6bb49a7a33702128eecac2b54a36713",Article,"Final","",Scopus,2-s2.0-85055027955
"Jucker, T., Hardwick, S.R., Both, S., Elias, D.M.O., Ewers, R.M., Milodowski, D.T., Swinfield, T., Coomes, D.A.","54401287500;56425832600;37761042400;57045457000;56821362600;55931929300;37035191900;6603900587;","Canopy structure and topography jointly constrain the microclimate of human-modified tropical landscapes",2018,"Global Change Biology","24","11",,"5243","5258",,53,"10.1111/gcb.14415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053733858&doi=10.1111%2fgcb.14415&partnerID=40&md5=e6f3ee29fdd0223816c775e931be0434",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85053733858
"Jafri, N., Yoon, L.W., Wong, W.Y., Cheah, K.H.","57213755213;53165452100;57216419087;57202816935;","Power generation from palm kernel shell biochar in a direct carbon fuel cell",2020,"SN Applied Sciences","2","3","386","","",,1,"10.1007/s42452-020-2189-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091878059&doi=10.1007%2fs42452-020-2189-2&partnerID=40&md5=e19f500e47dc33a7e873c18e9737e68a",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85091878059
"Wang, C.C., Tan, J.Y., Ma, Y.Q., Liu, L.H.","56424059500;26041070600;56373162600;56044427000;","Infrared optical constants of liquid palm oil and palm oil biodiesel determined by the combined ellipsometry-transmission method",2017,"Applied Optics","56","18",,"5156","5163",,8,"10.1364/AO.56.005156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021135438&doi=10.1364%2fAO.56.005156&partnerID=40&md5=489ab69120bc06454b05211c0105fb6a",Article,"Final","",Scopus,2-s2.0-85021135438
"Yacob, S., Ali Hassan, M., Shirai, Y., Wakisaka, M., Subash, S.","8639706400;7401623241;7202788909;7006643254;8639706800;","Baseline study of methane emission from anaerobic ponds of palm oil mill effluent treatment",2006,"Science of the Total Environment","366","1",,"187","196",,133,"10.1016/j.scitotenv.2005.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745893231&doi=10.1016%2fj.scitotenv.2005.07.003&partnerID=40&md5=e2a969789a6cdde875c755fceafc3a2b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-33745893231
